"","Group.1","Group.2","Group.3","weight_count"
"4532",2146,"St. Elmo's Fire (1985)","Drama",3.57741477272727
"5161",2297,"What Dreams May Come (1998)","Drama",3.5730985915493
"717",280,"Murder in the First (1995)","Drama",3.57075471698113
"2572",1660,"Eve's Bayou (1997)","Drama",3.56983240223464
"1253",1295,"Unbearable Lightness of Being, The (1988)","Drama",3.56766917293233
"566",1013,"Parent Trap, The (1961)","Drama",3.56589147286822
"776",2942,"Flashdance (1983)","Drama",3.56436464088398
"1234",412,"Age of Innocence, The (1993)","Drama",3.5593220338983
"6921",2730,"Barry Lyndon (1975)","Drama",3.55029585798817
"1370",724,"Craft, The (1996)","Drama",3.54951923076923
"1583",14,"Nixon (1995)","Drama",3.54248366013072
"2081",1542,"Brassed Off (1996)","Drama",3.54201680672269
"1783",147,"Basketball Diaries, The (1995)","Drama",3.5414364640884
"7931",2976,"Bringing Out the Dead (1999)","Drama",3.53258527827648
"6791",2702,"Summer of Sam (1999)","Drama",3.53151898734177
"4122",2022,"Last Temptation of Christ, The (1988)","Drama",3.53149606299213
"1165",3791,"Footloose (1984)","Drama",3.52666666666667
"10331",346,"Backbeat (1993)","Drama",3.525
"1489",991,"Michael Collins (1996)","Drama",3.52352941176471
"4601",2166,"Return to Paradise (1998)","Drama",3.52083333333333
"8621",3125,"End of the Affair, The (1999)","Drama",3.515
"5501",2370,"Emerald Forest, The (1985)","Drama",3.51408450704225
"8912",3169,"Falcon and the Snowman, The (1984)","Drama",3.51383399209486
"1217",3915,"Girlfight (2000)","Drama",3.51181102362205
"2243",1586,"G.I. Jane (1997)","Drama",3.50987432675045
"4901",2240,"My Bodyguard (1980)","Drama",3.50840336134454
"767",1190,"Tie Me Up! Tie Me Down! (1990)","Drama",3.50757575757576
"1604",1401,"Ghosts of Mississippi (1996)","Drama",3.50617283950617
"3541",1897,"High Art (1998)","Drama",3.50375939849624
"2762",1699,"Butcher Boy, The (1998)","Drama",3.50322580645161
"3082",1801,"Man in the Iron Mask, The (1998)","Drama",3.5
"5121",229,"Death and the Maiden (1994)","Drama",3.5
"1426",851,"Basquiat (1996)","Drama",3.49606299212598
"1764",1465,"Rosewood (1997)","Drama",3.49206349206349
"1275",506,"Orlando (1993)","Drama",3.49122807017544
"3592",1904,"Henry Fool (1997)","Drama",3.48672566371681
"2062",1535,"Love! Valour! Compassion! (1997)","Drama",3.48543689320388
"2162",1554,"Pillow Book, The (1995)","Drama",3.47826086956522
"2952",175,"Kids (1995)","Drama",3.47727272727273
"7691",2929,"Reds (1981)","Drama",3.47441860465116
"2502",1648,"House of Yes, The (1997)","Drama",3.47422680412371
"8212",3053,"Messenger: The Story of Joan of Arc, The (1999)","Drama",3.47023460410557
"11231",3676,"Eraserhead (1977)","Drama",3.46733668341709
"1263",477,"What's Love Got to Do with It? (1993)","Drama",3.46666666666667
"11021",3598,"Hamlet (2000)","Drama",3.45810055865922
"5041",2272,"One True Thing (1998)","Drama",3.45535714285714
"1054",3503,"Solaris (Solyaris) (1972)","Drama",3.45454545454545
"10791",3554,"Love and Basketball (2000)","Drama",3.45378151260504
"998",3404,"Titanic (1953)","Drama",3.45205479452055
"1240",43,"Restoration (1995)","Drama",3.44578313253012
"13131",574,"Spanking the Monkey (1994)","Drama",3.44571428571429
"3502",1888,"Hope Floats (1998)","Drama",3.44405684754522
"14231",848,"Spitfire Grill, The (1996)","Drama",3.43589743589744
"11141",3643,"Fighting Seabees, The (1944)","Drama",3.43564356435644
"3041",1794,"Love and Death on Long Island (1997)","Drama",3.43046357615894
"7991",2996,"Music of the Heart (1999)","Drama",3.42857142857143
"5401",2344,"Runaway Train (1985)","Drama",3.4228855721393
"11061",361,"It Could Happen to You (1994)","Drama",3.42164179104478
"11091",3628,"Flying Tigers (1942)","Drama",3.41584158415842
"2782",1701,"Deconstructing Harry (1997)","Drama",3.41549295774648
"897",3179,"Angela's Ashes (1999)","Drama",3.41333333333333
"3072",1799,"Suicide Kings (1997)","Drama",3.4131455399061
"638",1014,"Pollyanna (1960)","Drama",3.40441176470588
"1424",85,"Angels and Insects (1995)","Drama",3.4020618556701
"1430",86,"White Squall (1996)","Drama",3.39406779661017
"2672",168,"First Knight (1995)","Drama",3.39281767955801
"3292",1840,"He Got Game (1998)","Drama",3.38125
"1264",481,"Kalifornia (1993)","Drama",3.38095238095238
"9321",3251,"Agnes of God (1985)","Drama",3.3804347826087
"1394",781,"Stealing Beauty (1996)","Drama",3.37864077669903
"1088",3571,"Time Code (2000)","Drama",3.37795275590551
"4591",2165,"Your Friends and Neighbors (1998)","Drama",3.37614678899083
"1056",3506,"North Dallas Forty (1979)","Drama",3.36526946107784
"8731",3145,"Cradle Will Rock, The (1999)","Drama",3.35907335907336
"2362",1611,"My Own Private Idaho (1991)","Drama",3.35169491525424
"6711",1173,"Cook the Thief His Wife & Her Lover, The (1989)","Drama",3.34848484848485
"3482",1884,"Fear and Loathing in Las Vegas (1998)","Drama",3.34563758389262
"4152",2025,"Lolita (1997)","Drama",3.34389140271493
"6061",2506,"Other Sister, The (1999)","Drama",3.34355828220859
"1058",351,"Corrina, Corrina (1994)","Drama",3.34241245136187
"8811",3156,"Bicentennial Man (1999)","Drama",3.34190600522193
"10151",3430,"Death Wish (1974)","Drama",3.34090909090909
"10441",3478,"Bamba, La (1987)","Drama",3.33082706766917
"1542",1395,"Tin Men (1987)","Drama",3.32542372881356
"4142",2024,"Rapture, The (1991)","Drama",3.31756756756757
"1268",491,"Man Without a Face, The (1993)","Drama",3.31603773584906
"1258",465,"Heaven & Earth (1993)","Drama",3.31428571428571
"1325",605,"One Fine Day (1996)","Drama",3.3141592920354
"3272",1836,"Last Days of Disco, The (1998)","Drama",3.31111111111111
"5612",2410,"Rocky III (1982)","Drama",3.30660847880299
"9071",3194,"Way We Were, The (1973)","Drama",3.30454545454545
"11012",3594,"Center Stage (2000)","Drama",3.3021978021978
"4382",2106,"Swing Kids (1993)","Drama",3.2972972972973
"6201",2551,"Dead Ringers (1988)","Drama",3.29100529100529
"9351",3257,"Bodyguard, The (1992)","Drama",3.28833865814696
"9421",3270,"Cutting Edge, The (1992)","Drama",3.285
"2264",159,"Clockers (1995)","Drama",3.28448275862069
"4191",2059,"Parent Trap, The (1998)","Drama",3.28358208955224
"5131",2290,"Stardust Memories (1980)","Drama",3.28099173553719
"1166",3794,"Chuck & Buck (2000)","Drama",3.28099173553719
"1248",450,"With Honors (1994)","Drama",3.28070175438596
"1832",1480,"Smilla's Sense of Snow (1997)","Drama",3.27924528301887
"8111",3029,"Nighthawks (1981)","Drama",3.27368421052632
"10831",3565,"Where the Heart Is (2000)","Drama",3.26714801444043
"1173",381,"When a Man Loves a Woman (1994)","Drama",3.260663507109
"7461",2875,"Sommersby (1993)","Drama",3.25773195876289
"1682",1416,"Evita (1996)","Drama",3.25531914893617
"5911",2453,"Boy Who Could Fly, The (1986)","Drama",3.25
"2861",1727,"Horse Whisperer, The (1998)","Drama",3.22857142857143
"7213",282,"Nell (1994)","Drama",3.22325581395349
"537",2337,"Velvet Goldmine (1998)","Drama",3.20634920634921
"9441",3272,"Bad Lieutenant (1992)","Drama",3.2046783625731
"657",2639,"Mommie Dearest (1981)","Drama",3.20245398773006
"1573",1399,"Marvin's Room (1996)","Drama",3.20192307692308
"2922",1735,"Great Expectations (1998)","Drama",3.20152091254753
"956",3308,"Flamingo Kid, The (1984)","Drama",3.19727891156463
"10131",3426,"Jungle Fever (1991)","Drama",3.1953488372093
"1463",1366,"Crucible, The (1996)","Drama",3.18518518518519
"7111",277,"Miracle on 34th Street (1994)","Drama",3.18235294117647
"11331",371,"Paper, The (1994)","Drama",3.17924528301887
"4951",225,"Disclosure (1994)","Drama",3.17322834645669
"10931",358,"Higher Learning (1995)","Drama",3.17021276595745
"1117",3649,"American Gigolo (1980)","Drama",3.16949152542373
"1592",140,"Up Close and Personal (1996)","Drama",3.16546762589928
"856",3115,"Flawless (1999)","Drama",3.16363636363636
"1405",81,"Things to Do in Denver when You're Dead (1995)","Drama",3.16265060240964
"1249",451,"Flesh and Bone (1993)","Drama",3.15094339622642
"6081",2520,"Airport (1970)","Drama",3.14525139664804
"1914",1498,"Inventing the Abbotts (1997)","Drama",3.13740458015267
"5761",2432,"Stepmom (1998)","Drama",3.13698630136986
"6651",2676,"Instinct (1999)","Drama",3.13533834586466
"5261",2314,"Beloved (1998)","Drama",3.13461538461538
"4261",207,"Walk in the Clouds, A (1995)","Drama",3.1324200913242
"4651",218,"Boys on the Side (1995)","Drama",3.12820512820513
"1416",835,"Foxfire (1996)","Drama",3.12621359223301
"8451",31,"Dangerous Minds (1995)","Drama",3.11347517730496
"5741",2430,"Mighty Joe Young (1949)","Drama",3.11111111111111
"6231",2560,"Ravenous (1999)","Drama",3.11111111111111
"1255",46,"How to Make an American Quilt (1995)","Drama",3.10843373493976
"9461",3285,"Beach, The (2000)","Drama",3.10744680851064
"5291",2320,"Apt Pupil (1998)","Drama",3.10695187165775
"1280",511,"Program, The (1993)","Drama",3.10526315789474
"8171",3045,"Peter's Friends (1992)","Drama",3.09322033898305
"11321",3707,"Nine 1/2 Weeks (1986)","Drama",3.08438818565401
"569",2421,"Karate Kid, Part II, The (1986)","Drama",3.07872117400419
"1298",537,"Sirens (1994)","Drama",3.07729468599034
"1872",1487,"Selena (1997)","Drama",3.0679012345679
"1120",100,"City Hall (1996)","Drama",3.0625
"5891",2447,"Varsity Blues (1999)","Drama",3.06015037593985
"10431",3477,"Empire Records (1995)","Drama",3.04428044280443
"5621",2411,"Rocky IV (1985)","Drama",3.04213333333333
"7921",2975,"Best Man, The (1999)","Drama",3.03603603603604
"3091",1804,"Newton Boys, The (1998)","Drama",3.03361344537815
"6161",2540,"Corruptor, The (1999)","Drama",3.03205128205128
"6121",2524,"Towering Inferno, The (1974)","Drama",3.0187969924812
"497",2252,"Hero (1992)","Drama",3.01612903225806
"747",2877,"Tommy (1975)","Drama",3.01421800947867
"3252",1833,"Mercury Rising (1998)","Drama",3.00378787878788
"10301",3457,"Waking the Dead (1999)","Drama",2.99290780141844
"527",2316,"Practical Magic (1998)","Drama",2.98305084745763
"1375",74,"Bed of Roses (1996)","Drama",2.975
"1443",1363,"Preacher's Wife, The (1996)","Drama",2.97321428571429
"940",3262,"Twin Peaks: Fire Walk with Me (1992)","Drama",2.96932515337423
"3182",1816,"Two Girls and a Guy (1997)","Drama",2.96039603960396
"7261",2829,"Muse, The (1999)","Drama",2.95541401273885
"8201",3051,"Anywhere But Here (1999)","Drama",2.95031055900621
"2100",1003,"Extreme Measures (1996)","Drama",2.94214876033058
"4432",2120,"Needful Things (1993)","Drama",2.94214876033058
"6191",2546,"Deep End of the Ocean, The (1999)","Drama",2.94082840236686
"1179",382,"Wolf (1994)","Drama",2.93382352941176
"5511",2374,"Gung Ho (1986)","Drama",2.93032786885246
"1492",996,"Last Man Standing (1996)","Drama",2.90625
"6911",273,"Mary Shelley's Frankenstein (1994)","Drama",2.89754098360656
"7121",2771,"Brokedown Palace (1999)","Drama",2.88888888888889
"6051",2504,"200 Cigarettes (1999)","Drama",2.88397790055249
"1282",516,"Renaissance Man (1994)","Drama",2.87096774193548
"1236",42,"Dead Presidents (1995)","Drama",2.86877828054299
"1884",1488,"Devil's Own, The (1997)","Drama",2.85763888888889
"6351",259,"Kiss of Death (1995)","Drama",2.84313725490196
"1216",1043,"To Gillian on Her 37th Birthday (1996)","Drama",2.84259259259259
"3871",195,"Something to Talk About (1995)","Drama",2.84146341463415
"5731",2429,"Mighty Joe Young (1998)","Drama",2.82777777777778
"1184",3834,"Bronco Billy (1980)","Drama",2.82386363636364
"7831",2961,"Story of Us, The (1999)","Drama",2.81785714285714
"748",2882,"Jakob the Liar (1999)","Drama",2.79661016949153
"10201",3436,"Dying Young (1991)","Drama",2.7890625
"4561",2154,"How Stella Got Her Groove Back (1998)","Drama",2.78571428571429
"1493",1382,"Marked for Death (1990)","Drama",2.77952755905512
"2592",1667,"Mad City (1997)","Drama",2.7787610619469
"2852",1726,"Postman, The (1997)","Drama",2.77372262773723
"1096",3584,"Breathless (1983)","Drama",2.76744186046512
"4671",2188,"54 (1998)","Drama",2.76447876447876
"1183",3825,"Coyote Ugly (2000)","Drama",2.76119402985075
"1852",1483,"Crash (1996)","Drama",2.75886524822695
"11571",3758,"Communion (1989)","Drama",2.75833333333333
"5021",2269,"Indecent Proposal (1993)","Drama",2.73732718894009
"1228",4,"Waiting to Exhale (1995)","Drama",2.72941176470588
"10521",3500,"Mr. Saturday Night (1992)","Drama",2.71186440677966
"2302",1598,"Desperate Measures (1998)","Drama",2.71171171171171
"7781",2950,"Blue Lagoon, The (1980)","Drama",2.68222543352601
"12431",436,"Color of Night (1994)","Drama",2.65248226950355
"1209",3901,"Duets (2000)","Drama",2.65094339622642
"1385",765,"Jack (1996)","Drama",2.63157894736842
"1396",79,"Juror, The (1996)","Drama",2.60526315789474
"1252",455,"Free Willy (1993)","Drama",2.58947368421053
"1993",1515,"Volcano (1997)","Drama",2.55801104972376
"4542",2147,"Clan of the Cave Bear, The (1986)","Drama",2.54978354978355
"9621",3325,"Next Best Thing, The (2000)","Drama",2.33125
"7571",2906,"Random Hearts (1999)","Drama",2.328
"953",3299,"Hanging Up (2000)","Drama",2.29545454545455
"554",2392,"Jack Frost (1998)","Drama",2.23414634146341
"11821",3824,"Autumn in New York (2000)","Drama",2.12820512820513
"5701",2422,"Karate Kid III, The (1989)","Drama",2.12237762237762
"5631",2412,"Rocky V (1990)","Drama",2.1021897810219
"3712",193,"Showgirls (1995)","Drama",2.05069124423963
"2714",169,"Free Willy 2: The Adventure Home (1995)","Drama",2.01769911504425
"9100",1147,"When We Were Kings (1996)","Documentary",4.96949458483754
"1340",1189,"Thin Blue Line, The (1988)","Documentary",4.8907063197026
"5814",2859,"Stop Making Sense (1984)","Documentary",4.86945606694561
"4718",246,"Hoop Dreams (1994)","Documentary",4.81682960893855
"4218",2064,"Roger & Me (1989)","Documentary",4.68502506265664
"2725",162,"Crumb (1994)","Documentary",4.67260692464358
"5214",2677,"Buena Vista Social Club (1999)","Documentary",4.665
"6415",3007,"American Movie (1999)","Documentary",4.61559322033898
"1720",1289,"Koyaanisqatsi (1983)","Documentary",4.56840659340659
"5416",2693,"Trekkies (1997)","Documentary",4.43571428571429
"2826",1649,"Fast, Cheap & Out of Control (1997)","Documentary",4.42962962962963
"9716",556,"War Room, The (1993)","Documentary",4.22727272727273
"2220",1361,"Paradise Lost: The Child Murders at Robin Hood Hills (1996)","Documentary",4.21383647798742
"9815",581,"Celluloid Closet, The (1995)","Documentary",4.04964539007092
"1530",1192,"Paris Is Burning (1990)","Documentary",4.02857142857143
"3418",1797,"Everest (1998)","Documentary",4.0059880239521
"3520",1827,"Big One, The (1997)","Documentary",4
"6916",3182,"Mr. Death: The Rise and Fall of Fred A. Leuchter Jr. (1999)","Documentary",3.95967741935484
"2125",1050,"Looking for Richard (1996)","Documentary",3.82191780821918
"9612",549,"Thirty-Two Short Films About Glenn Gould (1993)","Documentary",3.82165605095541
"8115",3653,"Endless Summer, The (1966)","Documentary",3.79194630872483
"7515",3327,"Beyond the Mat (2000)","Documentary",3.52985074626866
"1440",1191,"Madonna: Truth or Dare (1991)","Documentary",3.52153110047847
"6816",3142,"U2: Rattle and Hum (1988)","Documentary",3.38461538461538
"8813",3865,"Original Kings of Comedy, The (2000)","Documentary",3.2312925170068
"1917",858,"Godfather, The (1972)","Crime",5.20371120107962
"1752",50,"Usual Suspects, The (1995)","Crime",5.19467190128996
"1407",3435,"Double Indemnity (1944)","Crime",5.07794918330308
"1318",1221,"Godfather: Part II, The (1974)","Crime",5.01119976359338
"1516",1234,"Sting, The (1973)","Crime",4.96835081029552
"1963",910,"Some Like It Hot (1959)","Crime",4.94555288461538
"1168",296,"Pulp Fiction (1994)","Crime",4.91994472593275
"1227",1213,"GoodFellas (1990)","Crime",4.91647555823778
"6211",1945,"On the Waterfront (1954)","Crime",4.9102119460501
"1817",608,"Fargo (1996)","Crime",4.89287703939514
"10412",2692,"Run Lola Run (Lola rennt) (1998)","Crime",4.85853544776119
"3814",1617,"L.A. Confidential (1997)","Crime",4.85231643356643
"1616",1248,"Touch of Evil (1958)","Crime",4.84834630350195
"750",1089,"Reservoir Dogs (1992)","Crime",4.75619539316918
"1735",47,"Seven (Se7en) (1995)","Crime",4.72238346525945
"11315",293,"Professional, The (a.k.a. Leon: The Professional) (1994)","Crime",4.72210184182015
"6311",1953,"French Connection, The (1971)","Crime",4.71353077816492
"670",1084,"Bonnie and Clyde (1967)","Crime",4.71064139941691
"11211",2917,"Body Heat (1981)","Crime",4.63650793650794
"7712",2194,"Untouchables, The (1987)","Crime",4.60918367346939
"1354",3362,"Dog Day Afternoon (1975)","Crime",4.56542483660131
"8214",2268,"Few Good Men, A (1992)","Crime",4.52087653157399
"1784",555,"True Romance (1993)","Crime",4.51785714285714
"964",2542,"Lock, Stock & Two Smoking Barrels (1998)","Crime",4.48224
"6512",2000,"Lethal Weapon (1987)","Crime",4.4699446834665
"1804",6,"Heat (1995)","Crime",4.46053191489362
"12111",3104,"Midnight Run (1988)","Crime",4.43464052287582
"9912",2580,"Go (1999)","Crime",4.43298755186722
"1925",866,"Bound (1996)","Crime",4.39694055944056
"2917",1500,"Grosse Pointe Blank (1997)","Crime",4.38538732394366
"609",1912,"Out of Sight (1998)","Crime",4.36696035242291
"2518",1466,"Donnie Brasco (1997)","Crime",4.36488178025035
"1160",1179,"Grifters, The (1990)","Crime",4.35700564971751
"9013",2391,"Simple Plan, A (1998)","Crime",4.31442953020134
"1716",1260,"M (1931)","Crime",4.30194805194805
"5115",1732,"Big Lebowski, The (1998)","Crime",4.29913400182315
"2116",1396,"Sneakers (1992)","Crime",4.28693858845096
"5010",1729,"Jackie Brown (1997)","Crime",4.24261049723757
"1973",942,"Laura (1944)","Crime",4.20205479452055
"10510",2726,"Killing, The (1956)","Crime",4.16923076923077
"1794",592,"Batman (1989)","Crime",4.1411250873515
"1265",3265,"Hard-Boiled (Lashou shentan) (1992)","Crime",4.13761467889908
"1556",3763,"F/X (1986)","Crime",4.10620542082739
"1335",3334,"Key Largo (1948)","Crime",4.0824295010846
"1526",3741,"Badlands (1973)","Crime",4.07883817427386
"6612",2001,"Lethal Weapon 2 (1989)","Crime",4.07675568743818
"8312",2278,"Ronin (1998)","Crime",4.05638957816377
"1606",3783,"Croupier (1998)","Crime",4.02978723404255
"1517",3735,"Serpico (1973)","Crime",3.98181818181818
"1187",2985,"Robocop (1987)","Crime",3.9693246541904
"5610",1805,"Wild Things (1998)","Crime",3.96253993610224
"860",112,"Rumble in the Bronx (1995)","Crime",3.96043859649123
"4216",1645,"Devil's Advocate, The (1997)","Crime",3.95121065375303
"1364",3364,"Asphalt Jungle, The (1950)","Crime",3.92715231788079
"1205",3019,"Drugstore Cowboy (1989)","Crime",3.92067307692308
"11014",290,"Once Were Warriors (1994)","Crime",3.91666666666667
"12910",3301,"Whole Nine Yards, The (2000)","Crime",3.88554817275747
"1427",3521,"Mystery Train (1989)","Crime",3.87765957446809
"1419",1227,"Once Upon a Time in America (1984)","Crime",3.86307053941909
"6912",2023,"Godfather: Part III, The (1990)","Crime",3.84670542635659
"1328",3328,"Ghost Dog: The Way of the Samurai (1999)","Crime",3.84394904458599
"7412",2130,"Atlantic City (1980)","Crime",3.83223684210526
"6411",198,"Strange Days (1995)","Crime",3.7902479338843
"14610",367,"Mask, The (1994)","Crime",3.77090754877014
"11410",2952,"Hard 8 (a.k.a. Sydney, a.k.a. Hard Eight) (1996)","Crime",3.74731182795699
"6713",2002,"Lethal Weapon 3 (1992)","Crime",3.74251870324189
"4912",1711,"Midnight in the Garden of Good and Evil (1997)","Crime",3.74116242038217
"1475",3701,"Alien Nation (1988)","Crime",3.7078373015873
"1694",431,"Carlito's Way (1993)","Crime",3.69105691056911
"11112",2912,"Limey, The (1999)","Crime",3.67932489451477
"1279",3266,"Man Bites Dog (C'est arrivé près de chez vous) (1992)","Crime",3.65584415584416
"2105",1034,"Freeway (1996)","Crime",3.64497041420118
"10214",2605,"Entrapment (1999)","Crime",3.64388674388674
"1256",3247,"Sister Act (1992)","Crime",3.64339339339339
"1843",70,"From Dusk Till Dawn (1996)","Crime",3.62992341356674
"6112",1918,"Lethal Weapon 4 (1998)","Crime",3.61158445440957
"8010",2231,"Rounders (1998)","Crime",3.60869565217391
"1742",493,"Menace II Society (1993)","Crime",3.60738255033557
"1069",2764,"Thomas Crown Affair, The (1968)","Crime",3.6
"4117",164,"Devil in a Blue Dress (1995)","Crime",3.56728232189974
"4102",1061,"Sleepers (1996)","Crime",3.55080213903743
"1706",434,"Cliffhanger (1993)","Crime",3.54723032069971
"7215",2112,"Grand Canyon (1991)","Crime",3.48843930635838
"7611",2159,"Henry: Portrait of a Serial Killer (1990)","Crime",3.47945205479452
"1435",3529,"Postman Always Rings Twice, The (1981)","Crime",3.47096774193548
"1575",3770,"Dreamscape (1984)","Crime",3.47041420118343
"8412",2280,"Clay Pigeons (1998)","Crime",3.432
"2016",1377,"Batman Returns (1992)","Crime",3.42322987390883
"1495",3717,"Gone in 60 Seconds (2000)","Crime",3.42046232876712
"1503",3729,"Shaft (1971)","Crime",3.41441441441441
"5413",1799,"Suicide Kings (1997)","Crime",3.4131455399061
"5211",1785,"King of New York (1990)","Crime",3.38888888888889
"1766",521,"Romeo Is Bleeding (1993)","Crime",3.36752136752137
"3515",1589,"Cop Land (1997)","Crime",3.35975609756098
"7810",22,"Copycat (1995)","Crime",3.34920634920635
"3915",1620,"Kiss the Girls (1997)","Crime",3.33670886075949
"1653",3896,"Way of the Gun, The (2000)","Crime",3.31843575418994
"2017",999,"2 Days in the Valley (1996)","Crime",3.28321678321678
"7110",2110,"Dead Men Don't Wear Plaid (1982)","Crime",3.26430517711172
"1535",3744,"Shaft (2000)","Crime",3.24228028503563
"1287",3272,"Bad Lieutenant (1992)","Crime",3.2046783625731
"1893",81,"Things to Do in Denver when You're Dead (1995)","Crime",3.16265060240964
"4714",1686,"Red Corner (1997)","Crime",3.15596330275229
"4813",170,"Hackers (1995)","Crime",3.14641744548287
"11512",2956,"Someone to Watch Over Me (1987)","Crime",3.13475177304965
"1854",707,"Mulholland Falls (1996)","Crime",3.08727272727273
"10312",2616,"Dick Tracy (1990)","Crime",3.08509615384615
"4018",1627,"U Turn (1997)","Crime",3.076
"1775",532,"Serial Mom (1994)","Crime",3.04884318766067
"3214",153,"Batman Forever (1995)","Crime",3.03854568854569
"9712",2561,"True Crime (1999)","Crime",3.0381679389313
"5512",1804,"Newton Boys, The (1998)","Crime",3.03361344537815
"9512",2540,"Corruptor, The (1999)","Crime",3.03205128205128
"1684",42,"Dead Presidents (1995)","Crime",2.86877828054299
"10112",259,"Kiss of Death (1995)","Crime",2.84313725490196
"1723",464,"Hard Target (1993)","Crime",2.78240740740741
"8810",2387,"Very Bad Things (1998)","Crime",2.7741935483871
"7310",2126,"Snake Eyes (1998)","Crime",2.74545454545455
"3612",1598,"Desperate Measures (1998)","Crime",2.71171171171171
"8913",2389,"Psycho (1998)","Crime",2.65151515151515
"1564",3764,"F/X 2 (1992)","Crime",2.64081632653061
"3414",1562,"Batman & Robin (1997)","Crime",2.5960396039604
"9313",2458,"Armed and Dangerous (1986)","Crime",2.47692307692308
"7010",2027,"Mafia! (1998)","Crime",2.44961240310078
"1197",2986,"Robocop 2 (1990)","Crime",2.38133874239351
"1886",762,"Striptease (1996)","Crime",2.18456375838926
"989",2568,"Mod Squad, The (1999)","Crime",2.10747663551402
"1094",745,"Close Shave, A (1995)","Comedy",5.1986301369863
"421",1148,"Wrong Trousers, The (1993)","Comedy",5.18412698412698
"642",1223,"Grand Day Out, A (1992)","Comedy",5.01575052854123
"414",1136,"Monty Python and the Holy Grail (1974)","Comedy",4.98549093183239
"408",2324,"Life Is Beautiful (La Vita è bella) (1997)","Comedy",4.97934027777778
"672",1234,"Sting, The (1973)","Comedy",4.96835081029552
"596",2858,"American Beauty (1999)","Comedy",4.96499416569428
"572",1197,"Princess Bride, The (1987)","Comedy",4.94926660914581
"1134",898,"Philadelphia Story, The (1940)","Comedy",4.94579037800687
"1139",910,"Some Like It Hot (1959)","Comedy",4.94555288461538
"482",1172,"Cinema Paradiso (1988)","Comedy",4.9309756097561
"1136",905,"It Happened One Night (1934)","Comedy",4.92286096256684
"843",1276,"Cool Hand Luke (1967)","Comedy",4.89182795698925
"85",1278,"Young Frankenstein (1974)","Comedy",4.8882229673093
"1155",951,"His Girl Friday (1940)","Comedy",4.8867758186398
"584",2804,"Christmas Story, A (1983)","Comedy",4.87474112426036
"951",3897,"Almost Famous (2000)","Comedy",4.86031187122736
"6811",3114,"Toy Story 2 (1999)","Comedy",4.8517665615142
"1142",916,"Roman Holiday (1953)","Comedy",4.84894117647059
"945",1304,"Butch Cassidy and the Sundance Kid (1969)","Comedy",4.84799154334038
"761",1256,"Duck Soup (1933)","Comedy",4.84200336700337
"893",1288,"This Is Spinal Tap (1984)","Comedy",4.80675313059034
"1157",955,"Bringing Up Baby (1938)","Comedy",4.79491525423729
"819",1269,"Arsenic and Old Lace (1944)","Comedy",4.79337797619048
"684",1235,"Harold and Maude (1971)","Comedy",4.78974175035868
"650",3035,"Mister Roberts (1955)","Comedy",4.77209026128266
"1301",1449,"Waiting for Guffman (1996)","Comedy",4.76926406926407
"123",1,"Toy Story (1995)","Comedy",4.76887337506018
"399",2300,"Producers, The (1968)","Comedy",4.76603343465046
"661",1230,"Annie Hall (1977)","Comedy",4.76293103448276
"574",2788,"And Now for Something Completely Different (1971)","Comedy",4.75809312638581
"1571",1537,"Shall We Dance? (Shall We Dansu?) (1996)","Comedy",4.75771428571429
"444",2396,"Shakespeare in Love (1998)","Comedy",4.74660194174757
"1138",909,"Apartment, The (1960)","Comedy",4.74616306954436
"637",2997,"Being John Malkovich (1999)","Comedy",4.7441990182954
"924",1294,"M*A*S*H (1970)","Comedy",4.7433575978162
"620",2918,"Ferris Bueller's Day Off (1986)","Comedy",4.73506449422946
"1146",933,"To Catch a Thief (1955)","Comedy",4.71681715575621
"782",1259,"Stand by Me (1986)","Comedy",4.71145658263305
"674",3088,"Harvey (1950)","Comedy",4.70337078651685
"838",356,"Forrest Gump (1994)","Comedy",4.70116226071103
"671",3083,"All About My Mother (Todo Sobre Mi Madre) (1999)","Comedy",4.6992385786802
"734",1244,"Manhattan (1979)","Comedy",4.69449860724234
"406",232,"Eat Drink Man Woman (1994)","Comedy",4.6864161849711
"317",2064,"Roger & Me (1989)","Comedy",4.68502506265664
"952",1307,"When Harry Met Sally... (1989)","Comedy",4.6843431122449
"960",3911,"Best in Show (2000)","Comedy",4.68401826484018
"787",3421,"Animal House (1978)","Comedy",4.66097763048882
"633",2973,"Crimes and Misdemeanors (1989)","Comedy",4.6575
"877",3671,"Blazing Saddles (1974)","Comedy",4.65446827524575
"651",3037,"Little Big Man (1970)","Comedy",4.65059221658206
"813",3507,"Odd Couple, The (1968)","Comedy",4.63843187660668
"766",3363,"American Graffiti (1973)","Comedy",4.63020202020202
"1121",1394,"Raising Arizona (1987)","Comedy",4.62405857740586
"811",3504,"Network (1976)","Comedy",4.6234011627907
"289",1080,"Monty Python's Life of Brian (1979)","Comedy",4.62111231101512
"379",2248,"Say Anything... (1989)","Comedy",4.62013129102845
"918",1292,"Being There (1979)","Comedy",4.6155668358714
"505",1175,"Delicatessen (1991)","Comedy",4.603125
"702",1238,"Local Hero (1983)","Comedy",4.6
"1012",497,"Much Ado About Nothing (1993)","Comedy",4.6
"824",1270,"Back to the Future (1985)","Comedy",4.58886953155246
"253",1077,"Sleeper (1973)","Comedy",4.57681451612903
"275",1079,"Fish Called Wanda, A (1988)","Comedy",4.56704374057315
